,0,1,2,3,4,5,6,7,8,9,10
Type of Crime,Rape,Kidnapping and Abduction of Women & Girls,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to the modesty of Women,Cruelty by Husband or his relatives,Importation of Girls from Foreign Country,Immoral Traffic (P) Act,Dowry Prohibition Act,Indecent Representation of Women (P) Act,Total Crimes against Women
2013,33707,51881,8233,70739,12589,118866,31,2579,10709,362,309696
2014,36735,57311,8455,82235,9735,122877,13,2617,10050,47,330075
2015,34651,59277,7634,82422,8685,123403,6,2641,9894,40,328653
2016,38947,64519,7621,84746,7305,110378,12,2337,9683,38,325586
2017,32559,66333,7466,86001,7451,104551,5,2127,10189,25,316707
2018,33356,72751,7167,89097,6992,103272,4,1882,12826,22,327369
2019,32033,72780,7115,88367,6939,125298,3,1645,13297,23,347500
2020,28046,62300,6966,85392,7065,111549,1,1294,10366,12,312991
2021,31677,75369,6753,89200,7788,136234,2,1678,13568,28,362297
2022,31516,85310,6450,83344,8972,140019,1,1497,13479,28,370616
